Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,ethnicity,jobhelp,wage
0.632408457,no,no,Male,no,Caucasian,0,0.906324844
0,no,no,Male,no,African_American,0,0.903121937
0,no,no,Male,yes,African_American,1,1.013746342
0.210802819,no,no,Female,no,African_American,1,0.773294968
3.162042287,yes,no,Male,no,African_American,1,0.982032211
0,yes,no,Male,yes,Caucasian,1,0.979258106
0,no,no,Female,yes,Caucasian,1,1.082111022
2.740436649,yes,no,Male,no,African_American,0,0.690644083
0.210802819,no,no,Male,no,African_American,0,0.809207634
0.210802819,yes,no,Male,yes,Caucasian,1,0.947188826
0.210802819,no,yes,Female,yes,African_American,0,0.694987506
0,no,yes,Female,no,African_American,0,0.994469907
0.421605638,no,no,Male,no,Caucasian,0,1.032301718
2.108028191,no,no,Male,yes,African_American,1,0.979678482
0.210802819,no,no,Male,no,Caucasian,1,1.00618517
0.632408457,no,no,Male,no,African_American,1,0.89483076
1.264816915,yes,no,Male,no,African_American,0,0.868011555
0.421605638,no,no,Male,no,African_American,1,0.999499947
1.475619734,no,yes,Male,no,African_American,0,0.690570514
0.210802819,no,no,Male,yes,Caucasian,1,0.91064366
0,no,no,Male,no,Caucasian,0,1.059566223
1.897225372,no,no,Male,yes,African_American,0,1.083469867
0.210802819,no,no,Male,no,Caucasian,0,0.997341522
5.270070478,no,no,Male,no,African_American,0,0.727233193
0,no,no,Male,no,African_American,0,1.146538947
0.421605638,no,no,Male,yes,Caucasian,0,0.843269149
0,no,no,Male,yes,African_American,0,1.098011224
0.210802819,no,no,Male,no,African_American,1,0.769182687
0.210802819,no,no,Male,yes,Caucasian,1,1.041689852
0.210802819,no,yes,Male,no,African_American,0,0.874417957
0.421605638,no,no,Male,no,African_American,1,0.750581024
0.632408457,yes,no,Male,no,Caucasian,0,0.770391285
0.421605638,no,no,Male,no,Caucasian,1,0.955196534
0,no,no,Male,yes,Caucasian,1,1.04907231
0,no,no,Female,no,Caucasian,0,1.065337138
0.843211277,no,no,Female,yes,Caucasian,1,0.812163692
0.210802819,no,yes,Male,no,African_American,0,0.710363271
0.210802819,yes,no,Male,no,Caucasian,0,1.22089482
3.794450744,no,no,Male,yes,African_American,0,0.86609334
0,no,yes,Male,no,Caucasian,1,0.996953324
0,no,no,Male,no,African_American,1,1.129657138
4.84846484,yes,no,Male,no,Caucasian,0,0.81348312
0.210802819,no,no,Male,yes,African_American,1,0.875266905
5.059267659,no,no,Male,no,African_American,1,1.252453172
0.843211277,no,yes,Male,no,Caucasian,1,0.681334078
1.686422553,no,no,Male,yes,African_American,0,0.900318386
0.632408457,no,no,Male,yes,Caucasian,0,1.011774846
1.897225372,no,no,Male,no,African_American,1,1.176296909
0.421605638,no,no,Female,yes,African_American,1,0.893964382
2.740436649,yes,no,Male,yes,African_American,1,0.961927335
0.210802819,no,yes,Male,yes,Caucasian,0,0.726737871
0,no,no,Male,no,Caucasian,1,1.117545756
0.210802819,no,yes,Male,no,African_American,0,0.706877467
0,no,yes,Male,no,African_American,0,0.846723521
0,yes,no,Male,no,Caucasian,0,0.986466154
0.210802819,no,no,Male,no,African_American,0,0.959590343
1.054014096,no,no,Male,yes,African_American,0,0.976937399
0,no,yes,Male,no,African_American,1,0.805599868
2.108028191,no,no,Female,no,African_American,1,0.916061595
0,no,no,Female,no,Caucasian,0,1.189897684
0.421605638,no,yes,Male,no,African_American,1,0.830474477
0.632408457,no,no,Male,yes,African_American,1,1.225774256
0,no,no,Male,no,Caucasian,0,1.008650497
0,no,no,Female,yes,Caucasian,0,1.039948332
0,no,yes,Male,no,African_American,1,0.744066822
0.210802819,no,yes,Male,no,Caucasian,1,0.892208747
0,no,yes,Male,no,African_American,0,0.960400541
0.421605638,yes,no,Male,no,African_American,0,0.821550713
0.421605638,no,no,Male,yes,African_American,0,0.85396493
0,yes,no,Male,no,Caucasian,1,0.861967057
0,no,no,Female,yes,Caucasian,1,1.084277354
1.897225372,no,no,Male,no,Caucasian,1,1.193162377
0,yes,no,Male,yes,Caucasian,1,1.076805255
0.632408457,no,no,Female,no,Caucasian,1,0.797954592
0,no,yes,Male,no,African_American,0,0.900370845
0,no,no,Female,yes,African_American,1,0.889741529
0.843211277,yes,no,Male,no,African_American,0,0.831293763
0.210802819,no,no,Female,yes,Caucasian,1,0.815666299
0,no,yes,Male,yes,African_American,1,0.929713728
0.210802819,no,yes,Male,no,African_American,1,0.798866154
0.843211277,no,yes,Male,no,Caucasian,1,0.763371971
0,no,yes,Male,no,African_American,0,0.951855466
0,no,no,Male,no,African_American,1,1.077864207
0,no,yes,Male,no,African_American,1,0.972885475
0,yes,no,Male,yes,Caucasian,1,0.991358362
1.897225372,yes,no,Male,no,African_American,1,1.11423648
0,yes,no,Female,no,Caucasian,1,0.957504972
0,yes,no,Male,yes,African_American,0,0.90686647
0,yes,no,Male,yes,Caucasian,0,0.998923218
0.210802819,no,yes,Male,no,Caucasian,1,0.717475698
0,no,no,Male,no,Caucasian,0,0.983336485
0,yes,no,Female,yes,African_American,0,0.838352117
0,no,no,Female,no,Caucasian,0,1.119352981
0,no,no,Female,no,African_American,1,0.860167066
0,no,yes,Female,no,African_American,1,1.002559985
0,no,yes,Male,yes,Caucasian,1,1.042772093
0.843211277,no,no,Male,yes,African_American,1,1.038258323
0,no,no,Male,yes,Caucasian,0,1.058204057
1.686422553,no,yes,Male,no,African_American,1,0.944136498
0,no,yes,Female,yes,African_American,0,0.979134352
1.475619734,yes,no,Male,no,Caucasian,0,0.755189882
0.843211277,yes,no,Male,no,Caucasian,0,0.704816841
2.951239468,yes,no,Female,yes,African_American,0,0.997948684
0,yes,no,Female,no,Caucasian,0,1.002581071
0.421605638,no,no,Male,yes,African_American,1,1.1203894
0.210802819,no,yes,Male,yes,African_American,0,0.724673552
0.843211277,no,no,Male,no,African_American,1,0.834132247
2.31883101,no,no,Female,no,Caucasian,0,0.871101598
0,no,no,Female,no,Caucasian,1,0.962589566
0,yes,no,Female,yes,Caucasian,0,0.821955988
0.421605638,yes,no,Female,no,African_American,0,0.86785832
2.52963383,no,no,Male,no,African_American,1,1.072798985
1.264816915,no,yes,Male,no,African_American,1,1.021082631
0.210802819,no,yes,Male,no,Caucasian,1,0.920554369
2.740436649,no,no,Male,no,African_American,1,1.365132839
0.210802819,no,yes,Male,no,African_American,1,0.782463116
0.843211277,yes,no,Male,yes,Caucasian,0,0.840469344
0.843211277,no,no,Female,no,African_American,0,1.03503763
2.31883101,no,no,Female,no,African_American,1,1.209202642
0.632408457,no,yes,Male,no,African_American,1,0.965422306
0.421605638,no,no,Male,yes,Caucasian,0,0.839352434
0.843211277,no,no,Male,yes,African_American,1,0.999053668
0,no,no,Male,no,Caucasian,1,1.273371525
1.475619734,no,no,Male,no,African_American,0,0.757064852
0,no,yes,Male,no,African_American,0,1.116093668
0.210802819,no,no,Male,no,African_American,1,0.930135282
1.054014096,no,no,Male,no,African_American,1,0.804484246
0.421605638,no,no,Female,yes,African_American,0,0.838197147
2.108028191,no,no,Female,yes,African_American,0,0.747972397
1.054014096,no,no,Male,no,African_American,0,0.76728778
0,yes,no,Male,yes,Caucasian,1,0.913983816
1.054014096,no,no,Male,no,African_American,0,0.854638421
0,no,yes,Male,no,Caucasian,1,0.886042549
0,no,no,Female,yes,African_American,0,0.892258869
2.52963383,yes,no,Male,yes,African_American,1,0.999252086
0.421605638,yes,no,Male,no,Caucasian,0,0.940719578
0,no,yes,Male,yes,African_American,1,0.777774796
0,no,no,Male,no,Caucasian,0,1.076250224
0.210802819,no,yes,Male,no,African_American,0,0.758011927
1.686422553,no,yes,Male,no,African_American,0,0.63228904
1.686422553,no,no,Male,yes,African_American,1,1.338071364
0,no,no,Male,no,African_American,0,0.987658767
0.421605638,no,no,Male,yes,African_American,1,1.028328929
0,yes,no,Female,yes,Caucasian,0,0.975357629
0.632408457,no,no,Male,no,Caucasian,0,0.77865084
3.372845106,no,no,Male,no,African_American,0,0.903542732
0,no,no,Female,yes,Caucasian,0,1.092816099
0.210802819,yes,no,Male,yes,Caucasian,1,0.735053159
0.421605638,no,no,Male,yes,African_American,1,1.0366436
1.897225372,no,no,Male,yes,Caucasian,0,0.779661116
0,no,no,Male,yes,African_American,1,1.024825684
0,yes,no,Male,no,Caucasian,0,0.762379392
0.632408457,no,yes,Male,no,African_American,1,0.839416673
2.740436649,no,no,Male,no,African_American,1,1.185422626
1.054014096,no,no,Male,no,Caucasian,1,1.079903378
0.421605638,no,no,Female,no,African_American,1,0.987071146
5.059267659,no,no,Male,yes,African_American,0,0.765286289
0,no,no,Female,yes,African_American,0,1.314554891
0.210802819,yes,no,Male,no,Caucasian,1,0.709714733
0.210802819,no,no,Male,yes,African_American,0,0.990142408
0.210802819,no,no,Male,no,African_American,1,1.01455122
0.210802819,yes,no,Female,no,Caucasian,1,0.88117542
0.632408457,no,no,Male,no,African_American,0,1.030975635
0.843211277,no,yes,Male,no,African_American,1,0.825805027
0.421605638,no,no,Male,yes,African_American,1,0.875791642
0,no,no,Male,no,Caucasian,0,0.986945206
0.843211277,no,yes,Female,no,Caucasian,1,0.932658325
0.632408457,no,no,Female,no,African_American,1,0.853268712
0,no,no,Male,yes,African_American,1,0.894613361
2.52963383,no,no,Male,no,African_American,1,1.212285138
0.210802819,yes,no,Male,yes,Caucasian,1,0.880631202
0,no,no,Male,no,African_American,1,0.971195218
0,yes,no,Female,no,Caucasian,0,1.02928715
3.372845106,yes,no,Male,no,African_American,1,1.158964396
0,no,no,Male,yes,Caucasian,0,1.179364363
0,yes,no,Male,no,Caucasian,0,1.000206476
0,no,no,Male,yes,Caucasian,0,1.320820645
0.210802819,yes,no,Male,no,African_American,1,0.771777298
0,no,no,Male,no,Caucasian,1,0.961233503
0,yes,no,Female,no,Caucasian,1,1.007855489
0.632408457,no,yes,Male,yes,Caucasian,1,0.951657367
0,no,no,Male,yes,Caucasian,1,1.195482758
0,no,yes,Male,no,Caucasian,1,1.143094503
0,no,no,Male,no,African_American,1,0.999079226
0.210802819,no,no,Male,no,African_American,1,0.788547981
1.897225372,no,no,Male,yes,Caucasian,1,1.023289626
0.632408457,yes,no,Male,yes,African_American,1,0.954924402
0.210802819,no,no,Female,no,African_American,1,0.767827979
0,no,no,Male,no,Caucasian,0,1.110793458
0.210802819,yes,no,Male,no,Caucasian,0,0.778554298
0.421605638,no,yes,Female,no,African_American,0,0.783074082
0.632408457,no,no,Male,yes,African_American,0,0.898804217
0,yes,no,Male,yes,Caucasian,0,0.978921461
0.210802819,no,yes,Male,yes,African_American,1,0.940575942
0.632408457,no,no,Male,yes,African_American,0,0.822315594
0.210802819,no,yes,Male,no,Caucasian,1,0.774038283
1.475619734,yes,no,Male,no,Caucasian,1,0.9932015
0,no,no,Female,no,African_American,1,0.924980117
0,no,no,Female,yes,African_American,1,0.852635788
0.210802819,no,no,Male,no,African_American,0,0.676184791
0.632408457,no,no,Female,yes,Caucasian,0,0.775378306
0,yes,no,Male,no,African_American,1,0.870197557
0,no,yes,Male,no,African_American,0,0.855793724
0.421605638,yes,no,Male,yes,African_American,1,0.922112596
0.421605638,no,no,Male,yes,Caucasian,1,0.97606237
1.054014096,no,no,Male,no,African_American,1,0.875603155
1.054014096,no,no,Male,no,African_American,0,0.630868862
0,no,yes,Female,no,Caucasian,0,0.839688836
1.054014096,no,no,Male,yes,African_American,0,0.691987078
0.210802819,no,yes,Male,no,African_American,0,0.682558129
0,no,no,Male,no,African_American,1,0.833888257
1.264816915,no,no,Male,no,African_American,1,0.926571061
0,no,no,Female,no,Caucasian,1,1.03071209
1.054014096,no,no,Male,no,African_American,1,1.042982183
0,no,yes,Female,no,African_American,0,1.003699651
0.632408457,yes,no,Male,no,Caucasian,0,0.74294942
0.210802819,no,no,Male,no,African_American,1,0.929922871
1.897225372,no,no,Male,yes,African_American,1,1.009097298
1.054014096,no,yes,Male,no,African_American,0,0.698432086
0.210802819,no,no,Male,no,African_American,0,0.885843337
0,no,no,Male,no,African_American,0,0.93932295
0.421605638,no,yes,Male,no,African_American,1,0.904841074
0,no,yes,Male,no,Caucasian,1,0.810009117
0,no,yes,Female,yes,Caucasian,1,1.129194501
0.210802819,no,no,Female,no,African_American,1,0.731400462
0,yes,no,Male,yes,Caucasian,1,1.08976088
0,yes,no,Female,yes,Caucasian,0,1.144075639
0.632408457,no,yes,Male,no,African_American,1,0.765942172
0,no,no,Female,yes,African_American,1,0.879143354
0.843211277,no,no,Female,no,Caucasian,0,0.937283055
0,no,no,Female,no,African_American,0,0.975898709
1.054014096,no,no,Male,no,Caucasian,0,0.771850012
0.421605638,yes,no,Male,no,Caucasian,1,0.721676348
4.005253563,no,no,Male,no,African_American,1,1.243506039
0.843211277,no,no,Male,yes,African_American,1,0.884170149
0.421605638,no,no,Male,yes,African_American,1,0.971452295
0.843211277,no,no,Male,yes,Caucasian,1,0.973989165
0.421605638,no,no,Male,yes,Caucasian,1,0.87725815
0,no,no,Male,no,Caucasian,1,1.178405491
0.210802819,no,yes,Male,no,Caucasian,0,0.835093748
0.421605638,yes,no,Male,yes,Caucasian,1,0.974708764
0.843211277,no,no,Male,no,Caucasian,1,1.126185299
0.210802819,yes,no,Female,yes,Caucasian,1,0.857839701
1.686422553,yes,no,Male,yes,African_American,0,0.882303455
0.210802819,no,no,Male,no,Caucasian,0,0.955164777
0.632408457,no,no,Female,no,African_American,1,0.93758898
0.210802819,no,no,Male,no,African_American,1,0.843546805
0.421605638,no,no,Male,no,African_American,0,0.863368773
0.210802819,no,yes,Male,no,Caucasian,1,0.907018649
0.421605638,no,yes,Male,no,African_American,0,0.846072025
0.421605638,no,yes,Male,no,African_American,0,0.577822027
0.421605638,yes,no,Male,no,Caucasian,0,0.753280068
0,no,no,Male,yes,Caucasian,1,1.214988323
0.843211277,no,no,Male,yes,Caucasian,1,1.066546188
1.686422553,yes,no,Male,no,African_American,1,0.934383955
0,no,no,Female,yes,Caucasian,1,0.98437708
0,yes,no,Male,no,Caucasian,1,1.257675454
2.31883101,no,no,Male,yes,African_American,1,1.244182054
0.421605638,no,no,Male,yes,African_American,1,0.92902264
1.686422553,no,no,Male,no,African_American,0,0.723558752
0.210802819,no,no,Male,no,African_American,0,0.723962121
0,no,yes,Female,no,African_American,1,1.021257463
0.632408457,no,no,Male,yes,African_American,0,0.933362446
0,no,no,Male,no,Caucasian,1,1.157374808
2.31883101,no,no,Male,no,African_American,0,1.127541735
0,no,no,Male,no,African_American,0,0.940317151
1.475619734,no,no,Male,no,Caucasian,1,1.12018648
0.421605638,yes,no,Male,no,Caucasian,1,0.970413467
0,no,no,Male,yes,Caucasian,0,1.243918476
0.210802819,no,no,Male,yes,African_American,0,0.877739495
0.421605638,no,no,Male,yes,African_American,1,0.987223914
0,yes,no,Female,yes,Caucasian,0,0.999862649
1.054014096,no,no,Male,yes,African_American,1,0.861305102
1.475619734,no,no,Male,no,African_American,1,0.905525913
0.421605638,yes,no,Male,yes,African_American,0,0.637549876
0.843211277,yes,no,Male,yes,Caucasian,1,0.682772433
0.632408457,no,no,Male,yes,African_American,1,0.927713951
0,no,no,Male,yes,Caucasian,0,1.112712266
1.054014096,no,no,Male,no,Caucasian,0,0.673921374
0.210802819,yes,no,Male,no,African_American,0,0.90453338
0.421605638,yes,no,Female,yes,African_American,1,0.952353543
1.475619734,no,no,Male,no,African_American,0,0.697216961
0,no,no,Male,no,African_American,1,1.066303876
0,no,no,Female,yes,Caucasian,0,1.038654224
0.210802819,no,yes,Male,no,African_American,0,0.694600885
0,no,no,Female,no,African_American,0,0.944830986
0.843211277,no,no,Male,yes,African_American,1,0.830526236
0.210802819,no,yes,Male,yes,African_American,0,0.756050818
1.686422553,no,no,Male,yes,African_American,1,0.872793586
0.632408457,no,yes,Male,yes,African_American,0,0.782889039
2.740436649,yes,no,Male,yes,African_American,0,0.92426567
0.210802819,no,no,Male,yes,Caucasian,0,0.835527111
0,no,yes,Female,yes,African_American,0,0.926777698
0.210802819,yes,no,Male,no,Caucasian,1,0.640639504
0.421605638,no,yes,Male,no,Caucasian,0,0.741475092
0,no,no,Male,yes,African_American,0,0.964761355
4.216056383,yes,no,Male,no,African_American,0,0.606844096
1.686422553,no,no,Male,yes,African_American,1,1.009542802
2.740436649,no,no,Male,no,African_American,1,1.140509637
0,no,no,Male,yes,Caucasian,0,1.04398463
0.421605638,no,no,Male,no,Caucasian,0,0.840522538
0.210802819,no,yes,Male,no,African_American,1,0.6414196
0,no,no,Male,no,Caucasian,0,1.136544286
0,yes,no,Male,yes,Caucasian,1,0.885868024
0.421605638,no,yes,Male,no,Caucasian,1,0.944493702
0.210802819,no,yes,Male,no,African_American,0,0.608987196
2.740436649,yes,no,Male,no,African_American,1,0.938962539
0,no,no,Male,yes,Caucasian,0,0.967526341
0.421605638,no,no,Male,no,African_American,1,0.910052519
0.843211277,no,no,Male,no,Caucasian,0,0.982439409
0.210802819,no,no,Female,no,African_American,0,0.747607568
0.843211277,no,no,Male,yes,African_American,1,1.02135176
0,no,yes,Male,no,African_American,0,0.878004536
0.632408457,no,yes,Male,yes,African_American,0,0.849783035
1.686422553,no,no,Male,yes,African_American,0,1.009524187
0.210802819,no,yes,Male,yes,African_American,1,0.803933466
0,yes,no,Male,yes,Caucasian,0,0.90764399
2.108028191,no,no,Female,no,Caucasian,1,1.064308962
0,no,no,Male,no,Caucasian,1,1.099492749
3.162042287,no,no,Male,no,African_American,1,1.135174245
0,no,yes,Male,no,African_American,1,1.003263404
0,no,yes,Male,no,Caucasian,1,1.100584748
0,no,no,Male,no,African_American,1,0.928199631
0.421605638,no,no,Female,no,African_American,1,0.866148517
0.210802819,no,yes,Female,no,African_American,1,0.736875596
0,no,yes,Male,no,African_American,1,1.061255976
0,yes,no,Male,yes,Caucasian,1,1.012815291
3.162042287,no,no,Male,no,African_American,1,1.19117403
0.210802819,yes,no,Male,no,African_American,0,0.755274767
0.421605638,no,no,Male,yes,Caucasian,0,0.98370362
