Number_of_Priors,Age_Above_FourtyFive,Age_Below_TwentyFive,Female,Misdemeanor,ethnicity,jobhelp,wage
5.270070478,no,no,Male,no,African_American,1,1.350840965
0,no,no,Male,no,African_American,1,1.055821784
0.421605638,no,no,Male,yes,Caucasian,1,0.901573223
0,no,no,Male,yes,African_American,0,0.953491575
0.210802819,no,no,Male,no,African_American,0,0.774169037
0.210802819,no,no,Male,yes,Caucasian,1,0.863351879
0.210802819,no,yes,Male,no,African_American,1,0.950580432
0.421605638,no,no,Male,no,African_American,0,0.844611756
0.632408457,yes,no,Male,no,Caucasian,1,0.87523675
0.421605638,no,no,Male,no,Caucasian,1,0.966828651
0,no,no,Male,yes,Caucasian,1,1.231164449
0,no,no,Female,no,Caucasian,1,1.049702612
0.843211277,no,no,Female,yes,Caucasian,1,0.889836781
0.210802819,no,yes,Male,no,African_American,0,0.932427695
0.210802819,yes,no,Male,no,Caucasian,1,0.777922931
3.794450744,no,no,Male,yes,African_American,0,0.780245642
0,no,yes,Male,no,Caucasian,1,0.883709127
0,no,no,Male,no,African_American,1,0.879438563
4.84846484,yes,no,Male,no,Caucasian,1,1.229065295
0.210802819,no,no,Male,yes,African_American,1,0.934828347
5.059267659,no,no,Male,no,African_American,1,1.473304704
0.843211277,no,yes,Male,no,Caucasian,1,0.957643475
1.686422553,no,no,Male,yes,African_American,1,0.982929816
0.632408457,no,no,Male,yes,Caucasian,1,0.969233725
1.897225372,no,no,Male,no,African_American,0,0.781965347
0.421605638,no,no,Female,yes,African_American,0,0.78078979
2.740436649,yes,no,Male,yes,African_American,0,0.842496069
0.210802819,no,yes,Male,yes,Caucasian,1,0.724507924
0,no,no,Male,no,Caucasian,1,1.315954538
0.210802819,no,yes,Male,no,African_American,1,0.762088988
0,no,yes,Male,no,African_American,1,0.921685672
0,yes,no,Male,no,Caucasian,1,0.928808432
0.210802819,no,no,Male,no,African_American,0,0.794179607
1.054014096,no,no,Male,yes,African_American,0,0.726602523
0,no,yes,Male,no,African_American,0,0.881873754
2.108028191,no,no,Female,no,African_American,0,0.89278836
0,no,no,Female,no,Caucasian,1,1.132962032
0.421605638,no,yes,Male,no,African_American,1,0.716982882
0.632408457,no,no,Male,yes,African_American,0,0.774167269
0,no,no,Male,no,Caucasian,1,1.051020299
0,no,no,Female,yes,Caucasian,1,1.261376648
0,no,yes,Male,no,African_American,0,0.792498575
0.210802819,no,yes,Male,no,Caucasian,0,0.782254185
0,no,yes,Male,no,African_American,0,1.109535235
0.421605638,yes,no,Male,no,African_American,0,0.73995332
0.421605638,no,no,Male,yes,African_American,1,0.7650171
0,yes,no,Male,no,Caucasian,1,0.935684489
0,no,no,Female,yes,Caucasian,1,1.149743657
1.897225372,no,no,Male,no,Caucasian,0,0.863136351
0,yes,no,Male,yes,Caucasian,0,0.945361735
0.632408457,no,no,Female,no,Caucasian,1,0.929433796
0,no,yes,Male,no,African_American,0,0.909090737
0,no,no,Female,yes,African_American,1,1.173335887
0.843211277,yes,no,Male,no,African_American,0,0.741182592
0.210802819,no,no,Female,yes,Caucasian,1,1.035217099
0,no,yes,Male,yes,African_American,1,0.965107158
0.210802819,no,yes,Male,no,African_American,0,0.738700337
0.843211277,no,yes,Male,no,Caucasian,0,0.657880728
0,no,yes,Male,no,African_American,0,0.849222803
0,no,no,Male,no,African_American,0,0.952193465
0,no,yes,Male,no,African_American,1,0.904726578
0,yes,no,Male,yes,Caucasian,1,1.13885101
1.897225372,yes,no,Male,no,African_American,1,1.197451768
0,yes,no,Female,no,Caucasian,1,1.167375546
0,yes,no,Male,yes,African_American,0,0.886773157
0,yes,no,Male,yes,Caucasian,0,0.838909253
0.210802819,no,yes,Male,no,Caucasian,1,0.782948345
0,no,no,Male,no,Caucasian,1,1.108960631
0,yes,no,Female,yes,African_American,0,0.988174259
0,no,no,Female,no,Caucasian,1,1.201037368
0,no,no,Female,no,African_American,1,1.070826674
0,no,yes,Female,no,African_American,1,0.769769161
0,no,yes,Male,yes,Caucasian,0,1.088678205
0.843211277,no,no,Male,yes,African_American,1,0.890647795
0,no,no,Male,yes,Caucasian,0,1.117633944
1.686422553,no,yes,Male,no,African_American,0,0.757482976
0,no,yes,Female,yes,African_American,1,0.943746534
1.475619734,yes,no,Male,no,Caucasian,1,0.950032518
0.843211277,yes,no,Male,no,Caucasian,1,0.730734423
2.951239468,yes,no,Female,yes,African_American,0,0.826429555
0,yes,no,Female,no,Caucasian,1,1.03935742
0.421605638,no,no,Male,yes,African_American,0,0.823784588
0.210802819,no,yes,Male,yes,African_American,1,0.782964799
0.843211277,no,no,Male,no,African_American,0,0.863494099
2.31883101,no,no,Female,no,Caucasian,0,0.922348004
0,no,no,Female,no,Caucasian,1,1.278314016
0,yes,no,Female,yes,Caucasian,1,0.978333135
0.421605638,yes,no,Female,no,African_American,0,0.766948563
2.52963383,no,no,Male,no,African_American,0,0.973937772
1.264816915,no,yes,Male,no,African_American,1,0.98765679
0.210802819,no,yes,Male,no,Caucasian,1,0.942422426
2.740436649,no,no,Male,no,African_American,0,0.79388891
0.210802819,no,yes,Male,no,African_American,1,0.992786319
0.843211277,yes,no,Male,yes,Caucasian,1,0.891013509
0.843211277,no,no,Female,no,African_American,0,1.055247795
2.31883101,no,no,Female,no,African_American,1,0.955520147
0.632408457,no,yes,Male,no,African_American,1,0.815341407
0.421605638,no,no,Male,yes,Caucasian,0,1.033138773
0.843211277,no,no,Male,yes,African_American,0,0.78097373
0,no,no,Male,no,Caucasian,0,1.027494053
1.475619734,no,no,Male,no,African_American,0,0.760415791
0,no,yes,Male,no,African_American,0,0.800098274
0.210802819,no,no,Male,no,African_American,1,0.828306098
1.054014096,no,no,Male,no,African_American,0,0.88367242
0.421605638,no,no,Female,yes,African_American,1,0.709728686
2.108028191,no,no,Female,yes,African_American,1,1.082227137
1.054014096,no,no,Male,no,African_American,1,1.087040953
0,yes,no,Male,yes,Caucasian,1,1.226000692
1.054014096,no,no,Male,no,African_American,0,0.988962317
0,no,yes,Male,no,Caucasian,1,1.078614639
0,no,no,Female,yes,African_American,1,0.841412678
2.52963383,yes,no,Male,yes,African_American,0,0.691622648
0.421605638,yes,no,Male,no,Caucasian,1,0.807568393
0,no,yes,Male,yes,African_American,0,0.972886189
0,no,no,Male,no,Caucasian,1,1.089488503
0.210802819,no,yes,Male,no,African_American,1,0.652814276
1.686422553,no,yes,Male,no,African_American,0,0.933461443
1.686422553,no,no,Male,yes,African_American,1,1.114063655
0,no,no,Male,no,African_American,0,1.024027137
0.421605638,no,no,Male,yes,African_American,1,1.021701005
0,yes,no,Female,yes,Caucasian,1,0.874697271
0.632408457,no,no,Male,no,Caucasian,0,0.968314347
3.372845106,no,no,Male,no,African_American,0,0.799052427
0,no,no,Female,yes,Caucasian,1,1.170766291
0.210802819,yes,no,Male,yes,Caucasian,1,0.815016546
0.421605638,no,no,Male,yes,African_American,0,0.91534221
1.897225372,no,no,Male,yes,Caucasian,1,1.232602959
0,no,no,Male,yes,African_American,0,1.000729275
0,yes,no,Male,no,Caucasian,1,1.107113152
0.632408457,no,yes,Male,no,African_American,0,0.637946839
2.740436649,no,no,Male,no,African_American,0,0.78038161
1.054014096,no,no,Male,no,Caucasian,0,1.064069169
0.421605638,no,no,Female,no,African_American,1,0.930620513
5.059267659,no,no,Male,yes,African_American,0,0.664466255
0,no,no,Female,yes,African_American,1,0.872490298
0.210802819,yes,no,Male,no,Caucasian,0,0.780122121
0.210802819,no,no,Male,yes,African_American,1,0.961516635
0.210802819,no,no,Male,no,African_American,1,0.860943682
0.210802819,yes,no,Female,no,Caucasian,1,0.885488251
0.632408457,no,no,Male,no,African_American,0,0.950649585
0.843211277,no,yes,Male,no,African_American,1,1.016200054
0.421605638,no,no,Male,yes,African_American,1,0.897777956
0,no,no,Male,no,Caucasian,1,1.094815297
0.843211277,no,yes,Female,no,Caucasian,1,0.72350643
0.632408457,no,no,Female,no,African_American,1,0.923223099
0,no,no,Male,yes,African_American,1,0.94441933
2.52963383,no,no,Male,no,African_American,0,0.757192187
0.210802819,yes,no,Male,yes,Caucasian,1,0.803250524
0,no,no,Male,no,African_American,0,1.106823629
0,yes,no,Female,no,Caucasian,0,0.819324672
3.372845106,yes,no,Male,no,African_American,1,1.045456556
0,no,no,Male,yes,Caucasian,1,1.111732015
0,yes,no,Male,no,Caucasian,1,0.914552178
0,no,no,Male,yes,Caucasian,1,1.133954007
0.210802819,yes,no,Male,no,African_American,0,0.792001093
0,no,no,Male,no,Caucasian,1,1.096701835
0,yes,no,Female,no,Caucasian,1,0.781461168
0.632408457,no,yes,Male,yes,Caucasian,1,1.156474531
0,no,no,Male,yes,Caucasian,1,1.079679378
0,no,yes,Male,no,Caucasian,1,1.067286374
0,no,no,Male,no,African_American,1,1.027754833
0.210802819,no,no,Male,no,African_American,1,0.978981381
1.897225372,no,no,Male,yes,Caucasian,1,1.17492432
0.632408457,yes,no,Male,yes,African_American,0,0.729239218
0.210802819,no,no,Female,no,African_American,0,0.888540931
0,no,no,Male,no,Caucasian,1,1.009790539
0.210802819,yes,no,Male,no,Caucasian,0,0.889471048
0.421605638,no,yes,Female,no,African_American,1,0.747103365
0.632408457,no,no,Male,yes,African_American,1,1.186624097
0,yes,no,Male,yes,Caucasian,1,0.847804774
0.210802819,no,yes,Male,yes,African_American,0,0.70466124
0.632408457,no,no,Male,yes,African_American,0,0.936039927
0.210802819,no,yes,Male,no,Caucasian,1,0.873417123
1.475619734,yes,no,Male,no,Caucasian,1,0.890317667
0,no,no,Female,no,African_American,0,0.905128755
0,no,no,Female,yes,African_American,1,1.014552441
0.210802819,no,no,Male,no,African_American,0,0.848570282
0.632408457,no,no,Female,yes,Caucasian,0,0.736082385
0,yes,no,Male,no,African_American,0,0.903461082
0,no,yes,Male,no,African_American,1,0.919205122
0.421605638,yes,no,Male,yes,African_American,1,0.809786743
0.421605638,no,no,Male,yes,Caucasian,1,0.842033503
1.054014096,no,no,Male,no,African_American,1,1.004166458
1.054014096,no,no,Male,no,African_American,0,0.997811417
0,no,yes,Female,no,Caucasian,1,1.046680409
1.054014096,no,no,Male,yes,African_American,1,0.848053075
0.210802819,no,yes,Male,no,African_American,0,0.707370757
0,no,no,Male,no,African_American,0,1.035216271
1.264816915,no,no,Male,no,African_American,1,0.91382604
0,no,no,Female,no,Caucasian,1,0.905924967
1.054014096,no,no,Male,no,African_American,0,0.942452405
0,no,yes,Female,no,African_American,1,0.820399227
0.632408457,yes,no,Male,no,Caucasian,0,0.744257828
0.210802819,no,no,Male,no,African_American,1,1.033367799
1.897225372,no,no,Male,yes,African_American,0,0.775506158
1.054014096,no,yes,Male,no,African_American,0,0.838252451
0.210802819,no,no,Male,no,African_American,1,0.752634927
0,no,no,Male,no,African_American,0,0.965166899
0.421605638,no,yes,Male,no,African_American,1,0.784831948
0,no,yes,Male,no,Caucasian,1,0.889705169
0,no,yes,Female,yes,Caucasian,1,0.938497744
0.210802819,no,no,Female,no,African_American,1,0.868200282
0,yes,no,Male,yes,Caucasian,0,1.0693699
0,yes,no,Female,yes,Caucasian,1,0.847847364
0.632408457,no,yes,Male,no,African_American,0,0.715629147
0,no,no,Female,yes,African_American,0,1.078574912
0.843211277,no,no,Female,no,Caucasian,0,0.847544937
0,no,no,Female,no,African_American,1,1.022989468
1.054014096,no,no,Male,no,Caucasian,0,0.950454426
0.421605638,yes,no,Male,no,Caucasian,0,0.827145403
4.005253563,no,no,Male,no,African_American,0,0.917506727
0.843211277,no,no,Male,yes,African_American,0,0.837804114
0.421605638,no,no,Male,yes,African_American,1,0.851636876
0.843211277,no,no,Male,yes,Caucasian,1,0.752052874
0.421605638,no,no,Male,yes,Caucasian,1,0.932909519
0,no,no,Male,no,Caucasian,1,1.143967616
0.210802819,no,yes,Male,no,Caucasian,1,0.876079351
0.421605638,yes,no,Male,yes,Caucasian,1,0.788146255
0.843211277,no,no,Male,no,Caucasian,1,1.179087057
0.210802819,yes,no,Female,yes,Caucasian,0,0.829056581
1.686422553,yes,no,Male,yes,African_American,0,0.762711701
0.210802819,no,no,Male,no,Caucasian,1,1.056754703
0.632408457,no,no,Female,no,African_American,1,0.843914475
0.210802819,no,no,Male,no,African_American,0,0.80596511
0.421605638,no,no,Male,no,African_American,0,1.120925338
0.210802819,no,yes,Male,no,Caucasian,0,0.801113538
0.421605638,no,yes,Male,no,African_American,0,0.927456781
0.421605638,no,yes,Male,no,African_American,1,0.658177629
0.421605638,yes,no,Male,no,Caucasian,0,0.781128656
0,no,no,Male,yes,Caucasian,1,1.138567532
0.843211277,no,no,Male,yes,Caucasian,1,1.014779634
1.686422553,yes,no,Male,no,African_American,1,0.822969827
0,no,no,Female,yes,Caucasian,1,1.101927783
0,yes,no,Male,no,Caucasian,1,0.897859156
2.31883101,no,no,Male,yes,African_American,0,0.923871489
0.421605638,no,no,Male,yes,African_American,1,1.006740404
1.686422553,no,no,Male,no,African_American,0,0.650515992
0.210802819,no,no,Male,no,African_American,1,1.002608751
0,no,yes,Female,no,African_American,0,0.783287577
0.632408457,no,no,Male,yes,African_American,0,0.896526858
0,no,no,Male,no,Caucasian,1,1.168216317
2.31883101,no,no,Male,no,African_American,0,0.830209472
0,no,no,Male,no,African_American,1,0.93752543
1.475619734,no,no,Male,no,Caucasian,0,0.916669514
0.421605638,yes,no,Male,no,Caucasian,1,0.887019482
0,no,no,Male,yes,Caucasian,1,1.192348846
0.210802819,no,no,Male,yes,African_American,0,0.664456957
0.421605638,no,no,Male,yes,African_American,1,0.741209948
0,yes,no,Female,yes,Caucasian,0,1.153776222
1.054014096,no,no,Male,yes,African_American,0,0.960336236
1.475619734,no,no,Male,no,African_American,0,0.894490174
0.421605638,yes,no,Male,yes,African_American,1,0.866297878
0.843211277,yes,no,Male,yes,Caucasian,0,0.896055134
0.632408457,no,no,Male,yes,African_American,1,0.67960925
0,no,no,Male,yes,Caucasian,1,1.21742587
1.054014096,no,no,Male,no,Caucasian,1,0.95805993
0.210802819,yes,no,Male,no,African_American,1,0.794409942
0.421605638,yes,no,Female,yes,African_American,0,0.720915556
1.475619734,no,no,Male,no,African_American,0,0.941111057
0,no,no,Male,no,African_American,0,0.965752929
0,no,no,Female,yes,Caucasian,0,1.153218145
0.210802819,no,yes,Male,no,African_American,0,0.711684834
0,no,no,Female,no,African_American,1,0.896480515
0.843211277,no,no,Male,yes,African_American,0,0.978626099
0.210802819,no,yes,Male,yes,African_American,0,0.826903724
1.686422553,no,no,Male,yes,African_American,0,1.038184158
0.632408457,no,yes,Male,yes,African_American,0,0.756536665
2.740436649,yes,no,Male,yes,African_American,1,1.143116229
0.210802819,no,no,Male,yes,Caucasian,1,1.139484404
0,no,yes,Female,yes,African_American,1,0.872244258
0.210802819,yes,no,Male,no,Caucasian,1,0.697162697
0.421605638,no,yes,Male,no,Caucasian,1,0.818509581
0,no,no,Male,yes,African_American,1,0.978823319
4.216056383,yes,no,Male,no,African_American,1,1.186889307
1.686422553,no,no,Male,yes,African_American,1,1.205406519
2.740436649,no,no,Male,no,African_American,0,0.817911725
0,no,no,Male,yes,Caucasian,0,1.138004859
0.421605638,no,no,Male,no,Caucasian,1,0.919649401
0.210802819,no,yes,Male,no,African_American,0,0.752047163
0,no,no,Male,no,Caucasian,1,1.131904131
0,yes,no,Male,yes,Caucasian,0,1.14204609
0.421605638,no,yes,Male,no,Caucasian,1,0.854366291
0.210802819,no,yes,Male,no,African_American,1,0.844966697
2.740436649,yes,no,Male,no,African_American,1,1.105043086
0,no,no,Male,yes,Caucasian,1,1.195791932
0.421605638,no,no,Male,no,African_American,1,0.836339618
0.843211277,no,no,Male,no,Caucasian,1,1.160990782
0.210802819,no,no,Female,no,African_American,1,0.833701121
0.843211277,no,no,Male,yes,African_American,1,0.923798466
0,no,yes,Male,no,African_American,1,1.050739785
0.632408457,no,yes,Male,yes,African_American,1,0.951395687
1.686422553,no,no,Male,yes,African_American,1,0.915373402
0.210802819,no,yes,Male,yes,African_American,1,0.687475909
0,yes,no,Male,yes,Caucasian,0,0.873010316
2.108028191,no,no,Female,no,Caucasian,0,0.918351068
0,no,no,Male,no,Caucasian,1,1.116620699
3.162042287,no,no,Male,no,African_American,0,0.887082486
0,no,yes,Male,no,African_American,1,0.956768611
0,no,yes,Male,no,Caucasian,0,0.941586289
0,no,no,Male,no,African_American,0,0.905407773
0.421605638,no,no,Female,no,African_American,1,1.000295656
0.210802819,no,yes,Female,no,African_American,0,0.827998553
0,no,yes,Male,no,African_American,0,0.759919367
0,yes,no,Male,yes,Caucasian,1,0.990530377
3.162042287,no,no,Male,no,African_American,0,0.764301601
0.210802819,yes,no,Male,no,African_American,1,0.584038871
0.421605638,no,no,Male,yes,Caucasian,0,0.915125259
